Time(ps) Source Detector[0] Detector[1] Detector[2] Detector[3] Detector[4]
1.1699e+04 7.7725e-09 1.4001e-09 -4.3505e-68 -1.6094e-65 1.2453e-81 -1.2344e-81
1.1772e+04 5.2776e-09 2.6288e-09 -1.2687e-67 -4.6919e-65 9.8156e-81 -9.7302e-81
1.1844e+04 3.4152e-09 3.4458e-09 -3.4266e-67 -1.2665e-64 7.4946e-80 -7.4296e-80
1.1916e+04 2.1180e-09 3.4095e-09 -8.1354e-67 -3.0032e-64 5.5488e-79 -5.5008e-79
1.1988e+04 1.2619e-09 2.4385e-09 -1.4392e-66 -5.2940e-64 3.9874e-78 -3.9530e-78
1.2061e+04 7.2241e-10 8.1680e-10 -8.6281e-68 -1.9161e-65 2.7836e-77 -2.7596e-77
1.2133e+04 3.9646e-10 -9.2916e-10 1.6484e-65 6.1483e-63 1.8893e-76 -1.8731e-76
1.2205e+04 2.0749e-10 -2.2303e-09 1.1257e-64 4.1828e-62 1.2477e-75 -1.2370e-75
1.2277e+04 1.0252e-10 -2.6795e-09 5.6651e-64 2.1022e-61 8.0238e-75 -7.9550e-75
1.2349e+04 4.6891e-11 -2.1700e-09 2.5020e-63 9.2765e-61 5.0278e-74 -4.9848e-74
1.2422e+04 1.9005e-11 -9.2329e-10 1.0238e-62 3.7937e-60 3.0719e-73 -3.0456e-73
1.2494e+04 6.0095e-12 5.9841e-10 3.9768e-62 1.4728e-59 1.8311e-72 -1.8155e-72
1.2566e+04 5.8132e-13 1.8590e-09 1.4854e-61 5.4985e-59 1.0655e-71 -1.0564e-71
1.2638e+04 -1.2584e-12 2.4347e-09 5.3766e-61 1.9894e-58 6.0560e-71 -6.0041e-71
1.2710e+04 -1.5590e-12 2.1539e-09 1.8956e-60 7.0107e-58 3.3635e-70 -3.3347e-70
1.2783e+04 -1.3084e-12 1.1459e-09 6.5326e-60 2.4149e-57 1.8263e-69 -1.8107e-69
1.2855e+04 -9.4014e-13 -2.1624e-10 2.2061e-59 8.1513e-57 9.6997e-69 -9.6165e-69
