Frequency(THz) Wavelength(um) Source Detector[0] Detector[1] Detector[2] Detector[3] Detector[4]
1.3098e+02 2.2889e+00 1.2359e-01 1.1865e-07 2.2534e-06 6.0326e-07 1.9043e-07 4.3919e-07
1.3259e+02 2.2610e+00 1.2586e-01 1.2061e-07 2.2897e-06 6.1253e-07 1.9354e-07 4.4599e-07
1.3421e+02 2.2338e+00 1.2806e-01 1.2072e-07 2.2924e-06 6.1292e-07 1.9371e-07 4.4624e-07
1.3583e+02 2.2072e+00 1.2904e-01 1.2124e-07 2.3026e-06 6.1465e-07 1.9442e-07 4.4754e-07
1.3744e+02 2.1812e+00 1.3316e-01 1.2458e-07 2.3644e-06 6.2873e-07 1.9952e-07 4.5792e-07
1.3906e+02 2.1558e+00 1.3669e-01 1.2333e-07 2.3408e-06 6.2451e-07 1.9777e-07 4.5473e-07
1.4068e+02 2.1311e+00 1.3373e-01 1.1795e-07 2.2414e-06 6.0309e-07 1.8969e-07 4.3892e-07
1.4229e+02 2.1068e+00 1.3335e-01 1.2143e-07 2.3067e-06 6.1732e-07 1.9487e-07 4.4947e-07
1.4391e+02 2.0832e+00 1.4340e-01 1.3079e-07 2.4805e-06 6.5545e-07 2.0902e-07 4.7753e-07
1.4553e+02 2.0600e+00 1.4909e-01 1.2708e-07 2.4111e-06 6.4071e-07 2.0356e-07 4.6654e-07
1.4715e+02 2.0374e+00 1.4008e-01 1.1537e-07 2.1938e-06 5.9392e-07 1.8594e-07 4.3206e-07
1.4876e+02 2.0152e+00 1.3733e-01 1.2097e-07 2.2987e-06 6.1746e-07 1.9434e-07 4.4951e-07
1.5038e+02 1.9936e+00 1.5426e-01 1.3717e-07 2.5999e-06 6.8314e-07 2.1879e-07 4.9785e-07
1.5200e+02 1.9724e+00 1.6328e-01 1.3192e-07 2.5018e-06 6.6139e-07 2.1099e-07 4.8168e-07
1.5361e+02 1.9516e+00 1.4730e-01 1.1311e-07 2.1522e-06 5.8583e-07 1.8265e-07 4.2606e-07
1.5523e+02 1.9313e+00 1.4094e-01 1.1985e-07 2.2785e-06 6.1482e-07 1.9281e-07 4.4753e-07
1.5685e+02 1.9114e+00 1.6567e-01 1.4364e-07 2.7209e-06 7.1134e-07 2.2873e-07 5.1851e-07
1.5846e+02 1.8919e+00 1.7944e-01 1.3791e-07 2.6138e-06 6.8686e-07 2.2017e-07 5.0025e-07
1.6008e+02 1.8728e+00 1.5562e-01 1.1129e-07 2.1190e-06 5.7955e-07 1.8004e-07 4.2133e-07
1.6170e+02 1.8540e+00 1.4412e-01 1.1806e-07 2.2458e-06 6.0946e-07 1.9026e-07 4.4361e-07
1.6332e+02 1.8357e+00 1.7756e-01 1.5007e-07 2.8416e-06 7.3955e-07 2.3863e-07 5.3927e-07
1.6493e+02 1.8177e+00 1.9778e-01 1.4508e-07 2.7480e-06 7.1708e-07 2.3115e-07 5.2239e-07
1.6655e+02 1.8000e+00 1.6531e-01 1.1009e-07 2.0971e-06 5.7554e-07 1.7836e-07 4.1825e-07
1.6817e+02 1.7827e+00 1.4687e-01 1.1562e-07 2.2009e-06 6.0146e-07 1.8672e-07 4.3767e-07
1.6978e+02 1.7657e+00 1.8981e-01 1.5639e-07 2.9598e-06 7.6754e-07 2.4834e-07 5.5982e-07
1.7140e+02 1.7491e+00 2.1852e-01 1.5346e-07 2.9045e-06 7.5239e-07 2.4397e-07 5.4823e-07
1.7302e+02 1.7327e+00 1.7669e-01 1.0966e-07 2.0894e-06 5.7444e-07 1.7782e-07 4.1731e-07
1.7463e+02 1.7167e+00 1.4916e-01 1.1256e-07 2.1445e-06 5.9078e-07 1.8223e-07 4.2981e-07
1.7625e+02 1.7009e+00 2.0230e-01 1.6246e-07 3.0737e-06 7.9477e-07 2.5769e-07 5.7983e-07
1.7787e+02 1.6855e+00 2.4186e-01 1.6305e-07 3.0838e-06 7.9287e-07 2.5862e-07 5.7784e-07
1.7949e+02 1.6703e+00 1.9013e-01 1.1015e-07 2.0989e-06 5.7698e-07 1.7868e-07 4.1899e-07
1.8110e+02 1.6554e+00 1.5103e-01 1.0893e-07 2.0772e-06 5.7760e-07 1.7688e-07 4.2008e-07
1.8272e+02 1.6407e+00 2.1488e-01 1.6820e-07 3.1811e-06 8.2072e-07 2.6654e-07 5.9894e-07
1.8434e+02 1.6263e+00 2.6801e-01 1.7386e-07 3.2859e-06 8.3846e-07 2.7513e-07 6.1128e-07
1.8595e+02 1.6122e+00 2.0605e-01 1.1171e-07 2.1287e-06 5.8380e-07 1.8116e-07 4.2385e-07
1.8757e+02 1.5983e+00 1.5253e-01 1.0477e-07 2.0003e-06 5.6218e-07 1.7072e-07 4.0867e-07
1.8919e+02 1.5846e+00 2.2737e-01 1.7346e-07 3.2798e-06 8.4503e-07 2.7469e-07 6.1680e-07
1.9080e+02 1.5712e+00 2.9718e-01 1.8590e-07 3.5105e-06 8.8925e-07 2.9348e-07 6.4849e-07
1.9242e+02 1.5580e+00 2.2492e-01 1.1456e-07 2.1819e-06 5.9558e-07 1.8555e-07 4.3234e-07
1.9404e+02 1.5450e+00 1.5377e-01 1.0018e-07 1.9152e-06 5.4468e-07 1.6389e-07 3.9577e-07
1.9565e+02 1.5323e+00 2.3959e-01 1.7814e-07 3.3678e-06 8.6716e-07 2.8197e-07 6.3309e-07
1.9727e+02 1.5197e+00 3.2956e-01 1.9907e-07 3.7569e-06 9.4520e-07 3.1364e-07 6.8947e-07
1.9889e+02 1.5073e+00 2.4726e-01 1.1883e-07 2.2619e-06 6.1318e-07 1.9212e-07 4.4503e-07
