Frequency(THz) Wavelength(um) Source Detector[0] Detector[1] Detector[2] Detector[3] Detector[4]
2.7327e+02 1.0971e+00 2.2913e+00 9.0177e-07 1.6563e-05 3.2135e-06 1.3095e-06 2.3837e-06
2.7489e+02 1.0906e+00 2.3258e+00 9.0470e-07 1.6618e-05 3.2273e-06 1.3142e-06 2.3939e-06
2.7650e+02 1.0842e+00 2.3605e+00 9.0762e-07 1.6674e-05 3.2432e-06 1.3190e-06 2.4055e-06
2.7812e+02 1.0779e+00 2.3955e+00 9.1053e-07 1.6731e-05 3.2604e-06 1.3238e-06 2.4180e-06
2.7974e+02 1.0717e+00 2.4308e+00 9.1341e-07 1.6786e-05 3.2756e-06 1.3285e-06 2.4291e-06
2.8135e+02 1.0655e+00 2.4664e+00 9.1626e-07 1.6840e-05 3.2893e-06 1.3331e-06 2.4392e-06
2.8297e+02 1.0594e+00 2.5022e+00 9.1910e-07 1.6894e-05 3.3048e-06 1.3378e-06 2.4505e-06
2.8459e+02 1.0534e+00 2.5383e+00 9.2192e-07 1.6949e-05 3.3220e-06 1.3425e-06 2.4630e-06
2.8621e+02 1.0475e+00 2.5747e+00 9.2471e-07 1.7003e-05 3.3374e-06 1.3471e-06 2.4743e-06
2.8782e+02 1.0416e+00 2.6113e+00 9.2747e-07 1.7055e-05 3.3511e-06 1.3516e-06 2.4843e-06
2.8944e+02 1.0358e+00 2.6482e+00 9.3021e-07 1.7108e-05 3.3662e-06 1.3562e-06 2.4954e-06
2.9106e+02 1.0300e+00 2.6853e+00 9.3293e-07 1.7161e-05 3.3832e-06 1.3608e-06 2.5077e-06
2.9267e+02 1.0243e+00 2.7227e+00 9.3562e-07 1.7213e-05 3.3989e-06 1.3653e-06 2.5191e-06
2.9429e+02 1.0187e+00 2.7603e+00 9.3828e-07 1.7264e-05 3.4125e-06 1.3697e-06 2.5291e-06
2.9591e+02 1.0131e+00 2.7982e+00 9.4092e-07 1.7315e-05 3.4272e-06 1.3741e-06 2.5398e-06
2.9752e+02 1.0076e+00 2.8363e+00 9.4353e-07 1.7366e-05 3.4439e-06 1.3785e-06 2.5519e-06
2.9914e+02 1.0022e+00 2.8747e+00 9.4611e-07 1.7416e-05 3.4598e-06 1.3830e-06 2.5634e-06
3.0076e+02 9.9679e-01 2.9133e+00 9.4866e-07 1.7465e-05 3.4734e-06 1.3872e-06 2.5734e-06
3.0238e+02 9.9146e-01 2.9521e+00 9.5118e-07 1.7514e-05 3.4876e-06 1.3914e-06 2.5838e-06
3.0399e+02 9.8618e-01 2.9912e+00 9.5367e-07 1.7563e-05 3.5039e-06 1.3958e-06 2.5956e-06
3.0561e+02 9.8097e-01 3.0304e+00 9.5613e-07 1.7611e-05 3.5199e-06 1.4000e-06 2.6072e-06
3.0723e+02 9.7580e-01 3.0699e+00 9.5856e-07 1.7658e-05 3.5335e-06 1.4041e-06 2.6171e-06
3.0884e+02 9.7069e-01 3.1096e+00 9.6095e-07 1.7704e-05 3.5472e-06 1.4082e-06 2.6272e-06
3.1046e+02 9.6564e-01 3.1496e+00 9.6331e-07 1.7751e-05 3.5632e-06 1.4123e-06 2.6387e-06
3.1208e+02 9.6063e-01 3.1897e+00 9.6564e-07 1.7797e-05 3.5791e-06 1.4165e-06 2.6502e-06
3.1369e+02 9.5568e-01 3.2300e+00 9.6793e-07 1.7841e-05 3.5927e-06 1.4204e-06 2.6601e-06
3.1531e+02 9.5078e-01 3.2705e+00 9.7018e-07 1.7885e-05 3.6060e-06 1.4243e-06 2.6698e-06
3.1693e+02 9.4593e-01 3.3113e+00 9.7241e-07 1.7929e-05 3.6214e-06 1.4283e-06 2.6809e-06
3.1855e+02 9.4113e-01 3.3522e+00 9.7460e-07 1.7973e-05 3.6372e-06 1.4322e-06 2.6923e-06
3.2016e+02 9.3638e-01 3.3932e+00 9.7674e-07 1.8015e-05 3.6508e-06 1.4360e-06 2.7022e-06
3.2178e+02 9.3167e-01 3.4345e+00 9.7885e-07 1.8056e-05 3.6636e-06 1.4397e-06 2.7115e-06
3.2340e+02 9.2701e-01 3.4759e+00 9.8092e-07 1.8098e-05 3.6784e-06 1.4434e-06 2.7222e-06
3.2501e+02 9.2240e-01 3.5175e+00 9.8296e-07 1.8139e-05 3.6941e-06 1.4472e-06 2.7334e-06
3.2663e+02 9.1783e-01 3.5593e+00 9.8495e-07 1.8178e-05 3.7076e-06 1.4508e-06 2.7432e-06
3.2825e+02 9.1331e-01 3.6012e+00 9.8690e-07 1.8216e-05 3.7200e-06 1.4543e-06 2.7522e-06
3.2986e+02 9.0884e-01 3.6433e+00 9.8881e-07 1.8255e-05 3.7341e-06 1.4578e-06 2.7624e-06
