Time(ps) Source Detector[0] Detector[1] Detector[2] Detector[3] Detector[4]
4.9686e+04 1.8841e-01 3.6926e-01 -9.2492e-02 -2.8316e-01 -9.1181e-02 -1.1488e-01
5.0072e+04 7.9260e-01 6.6317e-01 -1.4671e-01 -2.7171e-01 -9.6788e-02 -7.3566e-03
5.0457e+04 9.9757e-01 6.2336e-01 -1.2677e-01 -1.2305e-01 -5.3385e-02 1.0363e-01
5.0842e+04 7.0007e-01 2.6963e-01 -4.3030e-02 8.7349e-02 1.6833e-02 1.6330e-01
5.1227e+04 4.9949e-02 -2.2023e-01 6.2007e-02 2.5301e-01 7.8157e-02 1.4245e-01
5.1612e+04 -6.2533e-01 -5.9965e-01 1.3536e-01 2.9054e-01 9.9632e-02 5.1350e-02
5.1997e+04 -9.8563e-01 -6.7736e-01 1.4035e-01 1.8170e-01 7.0751e-02 -6.5570e-02
5.2383e+04 -8.4948e-01 -4.1375e-01 7.4946e-02 -1.7877e-02 6.5411e-03 -1.5122e-01
5.2768e+04 -2.8546e-01 5.8761e-02 -2.7650e-02 -2.0738e-01 -6.0376e-02 -1.6339e-01
5.3153e+04 4.2235e-01 5.0217e-01 -1.1591e-01 -2.9193e-01 -9.6459e-02 -9.5193e-02
5.3538e+04 9.1742e-01 6.9274e-01 -1.4587e-01 -2.2999e-01 -8.4034e-02 2.1034e-02
5.3923e+04 9.5040e-01 5.3397e-01 -1.0289e-01 -5.3506e-02 -2.9812e-02 1.2875e-01
5.4308e+04 5.0467e-01 1.0564e-01 -8.6711e-03 1.4882e-01 3.8846e-02 1.7439e-01
5.4694e+04 -1.9526e-01 -3.7623e-01 8.9718e-02 2.7609e-01 8.7749e-02 1.3394e-01
5.5079e+04 -7.9684e-01 -6.6843e-01 1.4325e-01 2.6533e-01 9.2779e-02 2.5863e-02
5.5464e+04 -9.9705e-01 -6.2343e-01 1.2523e-01 1.2230e-01 5.1648e-02 -9.6953e-02
5.5849e+04 -6.9507e-01 -2.6397e-01 4.4538e-02 -8.1551e-02 -1.5116e-02 -1.7291e-01
5.6234e+04 -4.2978e-02 2.2852e-01 -5.8630e-02 -2.4463e-01 -7.4326e-02 -1.6282e-01
5.6619e+04 6.3076e-01 6.0557e-01 -1.3268e-01 -2.8555e-01 -9.6504e-02 -7.0505e-02
5.7005e+04 9.8679e-01 6.7715e-01 -1.4036e-01 -1.8364e-01 -7.0494e-02 5.8286e-02
5.7390e+04 8.4578e-01 4.0741e-01 -7.7516e-02 1.0448e-02 -9.1260e-03 1.5857e-01
5.7775e+04 2.7876e-01 -6.7464e-02 2.4524e-02 1.9970e-01 5.7005e-02 1.7922e-01
5.8160e+04 -4.2867e-01 -5.0808e-01 1.1453e-01 2.8907e-01 9.4734e-02 1.0924e-01
5.8545e+04 -9.2018e-01 -6.9252e-01 1.4709e-01 2.3334e-01 8.4979e-02 -1.6204e-02
5.8930e+04 -9.4821e-01 -5.2805e-01 1.0563e-01 6.0127e-02 3.2467e-02 -1.3360e-01
5.9316e+04 -4.9863e-01 -9.7683e-02 1.0846e-02 -1.4366e-01 -3.6512e-02 -1.8331e-01
5.9701e+04 2.0210e-01 3.8171e-01 -8.9577e-02 -2.7546e-01 -8.7284e-02 -1.3999e-01
6.0086e+04 8.0103e-01 6.6865e-01 -1.4504e-01 -2.6874e-01 -9.4260e-02 -2.5586e-02
6.0471e+04 9.9650e-01 6.1867e-01 -1.2753e-01 -1.2670e-01 -5.3848e-02 1.0173e-01
6.0856e+04 6.9003e-01 2.5706e-01 -4.5749e-02 7.9330e-02 1.3722e-02 1.7707e-01
6.1241e+04 3.6004e-02 -2.3392e-01 5.9238e-02 2.4572e-01 7.4556e-02 1.6196e-01
6.1627e+04 -6.3616e-01 -6.0685e-01 1.3461e-01 2.8867e-01 9.8081e-02 6.4076e-02
6.2012e+04 -9.8789e-01 -6.7392e-01 1.4232e-01 1.8630e-01 7.2364e-02 -6.6434e-02
6.2397e+04 -8.4204e-01 -4.0155e-01 7.8275e-02 -1.0215e-02 1.0129e-02 -1.6260e-01
6.2782e+04 -2.7205e-01 7.2837e-02 -2.5482e-02 -2.0218e-01 -5.7505e-02 -1.7507e-01
6.3167e+04 4.3496e-01 5.1018e-01 -1.1672e-01 -2.9280e-01 -9.6509e-02 -9.7606e-02
6.3552e+04 9.2289e-01 6.9036e-01 -1.4928e-01 -2.3592e-01 -8.7018e-02 2.9644e-02
6.3938e+04 9.4597e-01 5.2293e-01 -1.0641e-01 -5.9554e-02 -3.3472e-02 1.4104e-01
6.4323e+04 4.9257e-01 9.2481e-02 -9.5276e-03 1.4770e-01 3.7357e-02 1.7946e-01
6.4708e+04 -2.0893e-01 -3.8420e-01 9.2464e-02 2.8105e-01 8.9674e-02 1.2577e-01
6.5093e+04 -8.0519e-01 -6.6732e-01 1.4783e-01 2.7251e-01 9.6770e-02 8.2180e-03
6.5478e+04 -9.9589e-01 -6.1464e-01 1.2834e-01 1.2577e-01 5.4741e-02 -1.1259e-01
6.5863e+04 -6.8496e-01 -2.5282e-01 4.3778e-02 -8.5212e-02 -1.5279e-02 -1.7519e-01
6.6249e+04 -2.9029e-02 2.3612e-01 -6.2995e-02 -2.5348e-01 -7.7742e-02 -1.4849e-01
6.6634e+04 6.4153e-01 6.0627e-01 -1.3781e-01 -2.9348e-01 -1.0081e-01 -4.6972e-02
6.7019e+04 9.8895e-01 6.7143e-01 -1.4279e-01 -1.8473e-01 -7.2686e-02 7.7457e-02
6.7404e+04 8.3825e-01 3.9872e-01 -7.5551e-02 1.7627e-02 -7.6778e-03 1.6212e-01
6.7789e+04 2.6533e-01 -7.4798e-02 2.9703e-02 2.1096e-01 6.1144e-02 1.6501e-01
6.8174e+04 -4.4123e-01 -5.1091e-01 1.1970e-01 2.9738e-01 9.8864e-02 8.5322e-02
6.8560e+04 -9.2555e-01 -6.9001e-01 1.4909e-01 2.3340e-01 8.6479e-02 -3.6689e-02
6.8945e+04 -9.4368e-01 -5.2173e-01 1.0327e-01 5.1727e-02 3.0439e-02 -1.4007e-01
6.9330e+04 -4.8648e-01 -9.0575e-02 5.5819e-03 -1.5565e-01 -4.0788e-02 -1.7345e-01
6.9715e+04 2.1575e-01 3.8642e-01 -9.4681e-02 -2.8414e-01 -9.1227e-02 -1.2042e-01
7.0100e+04 8.0931e-01 6.6897e-01 -1.4709e-01 -2.6925e-01 -9.5544e-02 -7.4741e-03
7.0485e+04 9.9523e-01 6.1461e-01 -1.2540e-01 -1.1884e-01 -5.1723e-02 1.0919e-01
7.0871e+04 6.7986e-01 2.5058e-01 -4.0664e-02 9.1104e-02 1.8041e-02 1.7156e-01
7.1256e+04 2.2053e-02 -2.3981e-01 6.4398e-02 2.5484e-01 7.8566e-02 1.4866e-01
7.1641e+04 -6.4686e-01 -6.0954e-01 1.3691e-01 2.9007e-01 9.9398e-02 5.1917e-02
7.2026e+04 -9.8996e-01 -6.7233e-01 1.4043e-01 1.7927e-01 7.0116e-02 -7.0586e-02
7.2411e+04 -8.3442e-01 -3.9647e-01 7.3275e-02 -2.1591e-02 5.5643e-03 -1.5801e-01
7.2796e+04 -2.5860e-01 7.9206e-02 -3.0648e-02 -2.1125e-01 -6.1650e-02 -1.6703e-01
7.3182e+04 4.4749e-01 5.1515e-01 -1.1897e-01 -2.9422e-01 -9.7634e-02 -9.3243e-02
7.3567e+04 9.2817e-01 6.9174e-01 -1.4727e-01 -2.2894e-01 -8.4334e-02 2.6743e-02
7.3952e+04 9.4135e-01 5.1988e-01 -1.0146e-01 -4.8627e-02 -2.8617e-02 1.3349e-01
7.4337e+04 4.8037e-01 8.5965e-02 -4.7790e-03 1.5566e-01 4.1290e-02 1.7411e-01
7.4722e+04 -2.2256e-01 -3.9151e-01 9.4064e-02 2.8109e-01 9.0152e-02 1.2836e-01
7.5107e+04 -8.1339e-01 -6.7192e-01 1.4545e-01 2.6489e-01 9.3525e-02 1.8715e-02
7.5493e+04 -9.9453e-01 -6.1379e-01 1.2374e-01 1.1572e-01 4.9962e-02 -1.0058e-01
7.5878e+04 -6.7473e-01 -2.4620e-01 4.0030e-02 -9.1042e-02 -1.8450e-02 -1.7015e-01
7.6263e+04 -1.5075e-02 2.4565e-01 -6.3611e-02 -2.5152e-01 -7.7343e-02 -1.5492e-01
7.6648e+04 6.5217e-01 6.1378e-01 -1.3525e-01 -2.8546e-01 -9.7326e-02 -6.1902e-02
7.7033e+04 9.9092e-01 6.7249e-01 -1.3905e-01 -1.7625e-01 -6.8577e-02 6.2766e-02
7.7418e+04 8.3056e-01 3.9214e-01 -7.3133e-02 2.1104e-02 -5.5993e-03 1.5648e-01
7.7804e+04 2.5185e-01 -8.5887e-02 2.9511e-02 2.0767e-01 6.0104e-02 1.7159e-01
7.8189e+04 -4.5372e-01 -5.2053e-01 1.1747e-01 2.9004e-01 9.5725e-02 9.9793e-02
7.8574e+04 -9.3075e-01 -6.9269e-01 1.4658e-01 2.2695e-01 8.3450e-02 -2.3057e-02
7.8959e+04 -9.3897e-01 -5.1571e-01 1.0206e-01 4.9882e-02 2.9343e-02 -1.3471e-01
7.9344e+04 -4.7424e-01 -7.8983e-02 6.0834e-03 -1.5249e-01 -3.9602e-02 -1.7814e-01
