Frequency(THz) Wavelength(um) Source Detector[0] Detector[1] Detector[2] Detector[3] Detector[4]
1.5665e-06 1.9138e+08 7.1770e-01 2.7985e-02 1.4740e-02 2.2380e-02 2.3574e-03 7.0306e-02
1.5766e-06 1.9016e+08 2.2684e-02 4.1561e-03 1.0293e-02 3.3528e-02 6.8140e-03 5.2597e-02
1.5867e-06 1.8895e+08 4.2178e-01 2.9112e-02 2.0721e-03 3.3831e-02 8.1311e-03 3.0379e-02
1.5968e-06 1.8775e+08 1.1223e+00 3.5187e-02 9.6688e-04 2.5883e-02 2.3397e-03 9.1765e-03
1.6069e-06 1.8657e+08 7.2607e-01 8.9348e-03 8.0161e-03 1.9278e-02 1.5112e-03 1.0065e-02
1.6170e-06 1.8540e+08 2.3827e-02 3.9352e-03 1.3006e-02 1.6745e-02 1.2178e-02 3.4429e-02
1.6271e-06 1.8425e+08 4.2093e-01 4.2491e-02 8.6754e-03 1.1244e-02 1.9721e-02 4.7984e-02
1.6372e-06 1.8311e+08 1.1288e+00 7.8036e-02 1.1857e-03 2.0756e-03 1.1878e-02 3.3307e-02
1.6473e-06 1.8199e+08 7.3463e-01 7.2003e-02 2.4315e-03 6.5088e-03 9.6437e-04 1.7015e-02
1.6574e-06 1.8088e+08 2.5012e-02 4.7524e-02 1.4474e-02 4.1364e-02 3.1264e-03 1.8213e-02
1.6675e-06 1.7978e+08 4.2015e-01 3.7596e-02 2.6791e-02 9.2926e-02 1.1043e-02 1.9507e-02
1.6776e-06 1.7870e+08 1.1355e+00 3.2615e-02 2.9480e-02 1.2140e-01 8.9212e-03 1.4400e-02
1.6877e-06 1.7763e+08 7.4341e-01 2.1558e-02 2.4776e-02 1.0359e-01 1.1324e-03 2.6270e-02
1.6978e-06 1.7657e+08 2.6238e-02 3.9474e-02 2.2686e-02 5.9587e-02 2.5087e-03 5.3494e-02
1.7079e-06 1.7553e+08 4.1942e-01 1.1375e-01 2.7606e-02 2.7776e-02 1.0798e-02 5.9165e-02
1.7180e-06 1.7450e+08 1.1425e+00 1.9145e-01 3.3146e-02 2.3588e-02 1.2834e-02 4.3776e-02
1.7282e-06 1.7348e+08 7.5241e-01 1.9022e-01 3.0533e-02 3.3803e-02 9.9467e-03 5.6685e-02
1.7383e-06 1.7247e+08 2.7507e-02 1.1275e-01 1.9176e-02 4.1479e-02 1.3031e-02 1.0173e-01
1.7484e-06 1.7147e+08 4.1877e-01 4.1825e-02 6.8594e-03 4.0800e-02 1.8496e-02 1.1107e-01
1.7585e-06 1.7048e+08 1.1498e+00 2.2357e-02 7.1563e-04 3.1803e-02 1.3734e-02 5.7124e-02
1.7686e-06 1.6951e+08 7.6162e-01 2.3411e-02 6.7641e-04 1.6825e-02 2.6485e-03 8.3788e-03
1.7787e-06 1.6855e+08 2.8820e-02 2.5208e-02 2.4278e-03 5.0567e-03 1.0586e-03 1.9556e-02
1.7888e-06 1.6760e+08 4.1818e-01 5.4996e-02 4.1721e-03 1.0426e-02 8.3990e-03 4.8044e-02
1.7989e-06 1.6665e+08 1.1572e+00 1.0571e-01 7.4392e-03 3.9782e-02 8.8315e-03 4.3367e-02
1.8090e-06 1.6572e+08 7.7107e-01 1.1055e-01 1.1863e-02 8.4439e-02 1.3164e-03 3.9075e-02
1.8191e-06 1.6480e+08 3.0179e-02 5.2858e-02 1.3237e-02 1.2202e-01 3.3337e-03 8.0344e-02
1.8292e-06 1.6389e+08 4.1765e-01 1.6452e-02 8.9800e-03 1.2764e-01 1.9685e-02 1.3283e-01
