Frequency(THz) Wavelength(um) Source Detector[0] Detector[1] Detector[2] Detector[3] Detector[4]
2.0212e+02 1.4832e+00 1.0661e+00 2.1059e-10 5.3676e-05 2.7945e-07 1.0293e-05 5.7108e-06
2.0374e+02 1.4714e+00 1.0876e+00 2.3220e-10 5.3844e-05 2.7834e-07 1.0355e-05 5.7602e-06
2.0536e+02 1.4599e+00 1.1094e+00 2.1295e-10 5.4104e-05 2.8313e-07 1.0446e-05 5.7840e-06
2.0697e+02 1.4485e+00 1.1315e+00 2.0413e-10 5.4415e-05 2.8940e-07 1.0516e-05 5.8070e-06
2.0859e+02 1.4372e+00 1.1539e+00 2.3929e-10 5.4640e-05 2.8990e-07 1.0556e-05 5.8562e-06
2.1021e+02 1.4262e+00 1.1765e+00 2.6830e-10 5.4806e-05 2.8842e-07 1.0615e-05 5.9093e-06
2.1182e+02 1.4153e+00 1.1994e+00 2.5147e-10 5.5053e-05 2.9262e-07 1.0708e-05 5.9369e-06
2.1344e+02 1.4046e+00 1.2227e+00 2.3720e-10 5.5371e-05 2.9946e-07 1.0785e-05 5.9588e-06
2.1506e+02 1.3940e+00 1.2462e+00 2.7133e-10 5.5614e-05 3.0088e-07 1.0828e-05 6.0064e-06
2.1668e+02 1.3836e+00 1.2700e+00 3.0799e-10 5.5780e-05 2.9916e-07 1.0884e-05 6.0627e-06
2.1829e+02 1.3734e+00 1.2941e+00 2.9512e-10 5.6014e-05 3.0269e-07 1.0977e-05 6.0945e-06
2.1991e+02 1.3633e+00 1.3185e+00 2.7549e-10 5.6334e-05 3.0996e-07 1.1061e-05 6.1158e-06
2.2153e+02 1.3533e+00 1.3432e+00 3.0722e-10 5.6596e-05 3.1238e-07 1.1109e-05 6.1614e-06
2.2314e+02 1.3435e+00 1.3682e+00 3.5148e-10 5.6764e-05 3.1059e-07 1.1162e-05 6.2203e-06
2.2476e+02 1.3338e+00 1.3935e+00 3.4421e-10 5.6983e-05 3.1338e-07 1.1254e-05 6.2566e-06
2.2638e+02 1.3243e+00 1.4191e+00 3.1962e-10 5.7302e-05 3.2094e-07 1.1345e-05 6.2778e-06
2.2799e+02 1.3149e+00 1.4450e+00 3.4751e-10 5.7581e-05 3.2441e-07 1.1398e-05 6.3211e-06
2.2961e+02 1.3057e+00 1.4712e+00 3.9902e-10 5.7756e-05 3.2273e-07 1.1449e-05 6.3820e-06
2.3123e+02 1.2965e+00 1.4977e+00 3.9901e-10 5.7959e-05 3.2476e-07 1.1539e-05 6.4230e-06
2.3285e+02 1.2875e+00 1.5245e+00 3.7024e-10 5.8272e-05 3.3242e-07 1.1636e-05 6.4448e-06
2.3446e+02 1.2786e+00 1.5516e+00 3.9287e-10 5.8568e-05 3.3698e-07 1.1694e-05 6.4854e-06
2.3608e+02 1.2699e+00 1.5790e+00 4.5092e-10 5.8751e-05 3.3561e-07 1.1744e-05 6.5477e-06
2.3770e+02 1.2612e+00 1.6067e+00 4.5979e-10 5.8941e-05 3.3687e-07 1.1832e-05 6.5936e-06
2.3931e+02 1.2527e+00 1.6347e+00 4.2798e-10 5.9244e-05 3.4447e-07 1.1934e-05 6.6166e-06
2.4093e+02 1.2443e+00 1.6630e+00 4.4402e-10 5.9553e-05 3.5011e-07 1.1999e-05 6.6545e-06
2.4255e+02 1.2360e+00 1.6915e+00 5.0754e-10 5.9748e-05 3.4923e-07 1.2047e-05 6.7174e-06
2.4416e+02 1.2278e+00 1.7204e+00 5.2681e-10 5.9924e-05 3.4977e-07 1.2133e-05 6.7680e-06
2.4578e+02 1.2198e+00 1.7496e+00 4.9346e-10 6.0215e-05 3.5714e-07 1.2239e-05 6.7929e-06
2.4740e+02 1.2118e+00 1.7791e+00 5.0173e-10 6.0535e-05 3.6382e-07 1.2311e-05 6.8281e-06
2.4902e+02 1.2039e+00 1.8089e+00 5.6931e-10 6.0743e-05 3.6362e-07 1.2359e-05 6.8908e-06
2.5063e+02 1.1961e+00 1.8390e+00 6.0030e-10 6.0908e-05 3.6352e-07 1.2441e-05 6.9461e-06
2.5225e+02 1.1885e+00 1.8694e+00 5.6726e-10 6.1182e-05 3.7048e-07 1.2551e-05 6.9735e-06
2.5387e+02 1.1809e+00 1.9001e+00 5.6687e-10 6.1509e-05 3.7813e-07 1.2630e-05 7.0061e-06
2.5548e+02 1.1734e+00 1.9311e+00 6.3677e-10 6.1732e-05 3.7879e-07 1.2679e-05 7.0680e-06
2.5710e+02 1.1661e+00 1.9624e+00 6.8050e-10 6.1889e-05 3.7816e-07 1.2757e-05 7.1276e-06
2.5872e+02 1.1588e+00 1.9940e+00 6.4995e-10 6.2143e-05 3.8457e-07 1.2869e-05 7.1581e-06
2.6033e+02 1.1516e+00 2.0259e+00 6.4034e-10 6.2474e-05 3.9307e-07 1.2956e-05 7.1885e-06
2.6195e+02 1.1445e+00 2.0580e+00 7.1052e-10 6.2713e-05 3.9476e-07 1.3007e-05 7.2487e-06
2.6357e+02 1.1374e+00 2.0905e+00 7.6766e-10 6.2864e-05 3.9375e-07 1.3080e-05 7.3123e-06
2.6519e+02 1.1305e+00 2.1232e+00 7.4206e-10 6.3097e-05 3.9947e-07 1.3193e-05 7.3465e-06
2.6680e+02 1.1237e+00 2.1563e+00 7.2305e-10 6.3427e-05 4.0869e-07 1.3287e-05 7.3750e-06
2.6842e+02 1.1169e+00 2.1896e+00 7.9127e-10 6.3681e-05 4.1154e-07 1.3341e-05 7.4330e-06
2.7004e+02 1.1102e+00 2.2232e+00 8.6206e-10 6.3829e-05 4.1033e-07 1.3410e-05 7.4999e-06
2.7165e+02 1.1036e+00 2.2571e+00 8.4404e-10 6.4040e-05 4.1526e-07 1.3523e-05 7.5384e-06
2.7327e+02 1.0971e+00 2.2913e+00 8.1598e-10 6.4364e-05 4.2503e-07 1.3625e-05 7.5655e-06
2.7489e+02 1.0906e+00 2.3258e+00 8.7986e-10 6.4634e-05 4.2915e-07 1.3683e-05 7.6206e-06
2.7650e+02 1.0842e+00 2.3605e+00 9.6401e-10 6.4783e-05 4.2794e-07 1.3748e-05 7.6902e-06
2.7812e+02 1.0779e+00 2.3955e+00 9.5631e-10 6.4971e-05 4.3202e-07 1.3859e-05 7.7333e-06
2.7974e+02 1.0717e+00 2.4308e+00 9.2008e-10 6.5284e-05 4.4215e-07 1.3968e-05 7.7596e-06
2.8135e+02 1.0655e+00 2.4664e+00 9.7718e-10 6.5568e-05 4.4762e-07 1.4031e-05 7.8115e-06
2.8297e+02 1.0594e+00 2.5022e+00 1.0739e-09 6.5721e-05 4.4663e-07 1.4092e-05 7.8830e-06
2.8459e+02 1.0534e+00 2.5383e+00 1.0792e-09 6.5886e-05 4.4983e-07 1.4201e-05 7.9310e-06
